"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.scalability.QT.+OR+.QT.number+of+nodes.QT.+OR+.QT.number+of+resources.QT.%29+AND+.QT.intrusion+detection+system.QT.%29",2016/09/19 11:06:38,"Scalability","(""scalability"" OR ""number of nodes"" OR ""number of resources"") AND ""intrusion detection system""",IEEE
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A survey of the mitigation methods against DoS attacks on MANETs","A. Alsumayt; J. Haggerty","School of Science and Technology, Nottingham Trent University, Nottingham, NG11 8NS, United Kingdom","Science and Information Conference (SAI), 2014","","2014","","","538","544","In recent years, the mobile ad hoc network (MANET) has spread to many sectors, such as education and the military. A MANET is a self-configuring and spontaneous network that is established without any administrative management and without fixed infrastructure. Due to its nature, a MANET becomes vulnerable to many attacks, and in particular, Denial of Service (DoS). DoS overwhelm the network and deprive legitimate users from using network resources. There are many methods to mitigate this attack, such as firewalls, intrusion detection systems and filtering. Each defence method has some benefits and limitations. In this paper, a description of the components of an ideal system to mitigate DoS attacks is presented which will help to design a new method to detect this attack with certainty in MANETs.","","","10.1109/SAI.2014.6918239","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6918239","Denial of service;Distributed denial of service;Intrusion detection system;MANET;ad hoc","Ad hoc networks;Computer crime;Firewalls (computing);Mobile computing;Routing protocols","computer network security;mobile ad hoc networks","DoS attacks;MANET;defence method;denial of service;legitimate users;mitigation methods;mobile ad hoc network","","2","","30","","","27-29 Aug. 2014","","IEEE","IEEE Conference Publications"
"Distributed and Collaborative Intrusion Detection Systems","A. Farroukh; N. Mukadam; E. Bassil; I. H. Elhajj","American University of Beirut, Electrical and Computer Engineering Dept., Beirut, Lebanon. amf06@aub.edu.lb","Communications Workshop, 2008. LCW 2008. IEEE Lebanon","","2008","","","41","45","Intrusion detection systems help improve the security of networks by providing early warning and response. To improve the detection of attacks, sharing data among distributed nodes or terminals and collaborating on a decision is key. This paper presents a distributed and collaborative intrusion detection (DaCID) system that relies on Dempster Shafer theory of evidence for fusing data from multiple nodes. In this approach the detection is done collaboratively and the decision is distributed among all nodes. DaCID is more robust than other systems since it is completely distributed and the decision is made autonomously at each node. Simulation results demonstrated that DaCID's performance approaches that of a centralized method.","","","10.1109/LCW.2008.4545399","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4545399","Collaborative;Dempster Shafer;Denial of Service;Distributed;Intrusion detection","Cats;Collaboration;Computer crime;Computer networks;Computer security;Data security;Distributed computing;Floods;Intrusion detection;Robustness","case-based reasoning;computer networks;groupware;telecommunication computing;telecommunication security","Dempster Shafer evidence theory;collaborative intrusion detection systems;data fusion;data sharing;distributed intrusion detection systems;network security","","1","","17","","","31-31 May 2008","","IEEE","IEEE Conference Publications"
"Attack generating and its implication on Ad Hoc Networks","S. Menaria; S. Valiveti; K. Kotecha","Institute of Technology, Computer Science and Engineering, Ahmedabad, Gujarat, India 382481","Emerging Trends in Networks and Computer Communications (ETNCC), 2011 International Conference on","","2011","","","473","477","These days, Ad Hoc Networks are in demand in some crucial applications due to their open architecture and the mobility feature. Here, nodes cooperate with each other for communication. This very characteristic poses an immense problem in Ad Hoc Networks from the Security Point of view. Also due to the lack of Central Administration, Ad Hoc Networks fall prey to the Insider Attacks. Implementation of good Intrusion Detection Systems are ideal for insider attacks. For developing highly efficient intrusion detection system, it is mandatory to understand the effect of attacks on performance of Ad Hoc networks. In this paper we discuss general overview of wireless ad hoc networks, survey of various attacks and analysis of effects of black hole attack, dropping route request attack and Route Request flooding attacks on Ad Hoc networks. The ns-2 simulator was used for simulation of various attacks.","","","10.1109/ETNCC.2011.6255884","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6255884","","Ad hoc networks;Data models;Floods;Intrusion detection;Measurement;Routing;Routing protocols","ad hoc networks;security of data;telecommunication security","attack generating;black hole attack;central administration;dropping route request attack;insider attacks;intrusion detection;mobility feature;ns-2 simulator;open architecture;route request flooding attacks;security;wireless ad hoc networks","","0","","","","","22-24 April 2011","","IEEE","IEEE Conference Publications"
"Unsupervised outlier detection technique for intrusion detection in cloud computing","M. Kumar; R. Mathur","School of Computer Engineering, Lovely Professional University, India","Convergence of Technology (I2CT), 2014 International Conference for","","2014","","","1","4","Outlier detection is becoming a recent area of research focus in data mining. Here we are proposing an efficient outlier detection concept DenOD (Density Based Outlier Detection) based on unsupervised method for intrusion detection in cloud computing environment. Unsupervised outlier detection techniques are playing big role in a various application domains such as network intrusion detection, fault detection and fraud detection. The beauty of unsupervised method is that, it does not require any training data set or any kind of previous knowledge. This technique can help to detect accurate and novel attacks without any previous knowledge. DenOD will implement on IDCC (Intrusion Detection in Cloud Computing) framework that has three components- Cloud nodes, IDS (Intrusion Detection System) and End User. This technique is capable to detect all kind of attacks as well as detect faulty services in cloud environment.","","","10.1109/I2CT.2014.7092027","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092027","Cloud Computing;DenOD;Fault Detection;IDCC;IDS;Intrusion Detection System;Outlier Detection Technique;Unsupervised Method","Algorithm design and analysis;Cloud computing;Computers;Databases;Intrusion detection;Real-time systems","cloud computing;security of data","DenOD;IDCC framework;IDS;attack detection;cloud nodes;density-based outlier detection;end users;faulty service detection;intrusion detection system;intrusion detection-in-cloud computing framework;unsupervised outlier detection technique","","0","","9","","","6-8 April 2014","","IEEE","IEEE Conference Publications"
"An Efficient Group Key Management for Secure Routing in Ad Hoc Networks","N. C. Fernandes; O. C. M. B. Duarte","GTA/PEE/COPPE, Univ. Fed. do Rio de Janeiro, Rio de Janeiro","IEEE GLOBECOM 2008 - 2008 IEEE Global Telecommunications Conference","","2008","","","1","5","This paper proposes and specifies a protocol for distributing and managing group keys in ad hoc environments, which applies for the Secure Optimized Link State Routing Protocol. Our protocol manages group keys taking into consideration the frequent network partitions and the absence of infrastructure. The analysis shows that the protocol is energy efficient for high key replacement rates and frequent network partitions. The proposal reduced up to 512 times the control traffic load and 356 times the energy spent with cryptographic operations when compared to contributory algorithms. The proposed protocol is robust even in the presence of non-cooperative nodes and provides an efficient key management in a timely manner.","1930-529X;1930529X","","10.1109/GLOCOM.2008.ECP.351","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4698126","","Ad hoc networks;Cryptographic protocols;Cryptography;Energy efficiency;Environmental management;Partitioning algorithms;Proposals;Robustness;Routing protocols;Telecommunication traffic","ad hoc networks;cryptographic protocols;routing protocols;telecommunication congestion control;telecommunication network management;telecommunication security","ad hoc network;cryptography operation;energy efficient;frequent network partition;group key management;noncooperative node;secure optimized link state routing protocol;traffic load control","","1","","15","","","Nov. 30 2008-Dec. 4 2008","","IEEE","IEEE Conference Publications"
"Policy-based dynamic service chaining in Network Functions Virtualization","E. J. Scheid; C. C. Machado; R. L. dos Santos; A. E. Schaeffer-Filho; L. Z. Granville","Institute of Informatics - Federal University of Rio Grande do Sul, Porto Alegre, Brazil","2016 IEEE Symposium on Computers and Communication (ISCC)","","2016","","","340","345","Network Functions Virtualization (NFV) enables the rapid development, flexible management, and the dynamic placement of new, innovative Virtualized Network Functions (VNFs), such as load balancers, firewalls, and Intrusion Detection Systems (IDSes). Furthermore, NFV along with Software-Defined Networking (SDN) allows VNFs and physical middleboxes to be dynamically composed into service chaining graphs. Despite these benefits, service chaining graphs can be further improved through the use of techniques that have not been satisfactorily explored yet, such as Policy-Based Network Management (PBNM). In PBNM, policies can be written and triggered during runtime, thus supporting the dynamic (re)configuration of service graphs with minimal disruption. In this paper, we propose an approach to automatically design NFV service chaining graphs based on policies. These policies rule the forwarding of traffic and the construction of service chaining graphs. In our approach, service chaining graphs are enforced dynamically in the network during runtime. Finally, to assess its feasibility and generality, we create two different scenarios to demonstrate and discuss how our solution can be employed and its expected results.","","Electronic:978-1-5090-0679-3; POD:978-1-5090-0680-9","10.1109/ISCC.2016.7543763","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7543763","Network Functions Virtualization;Policy-based Network Management;Service Chaining","Computer architecture;Computers;Middleboxes;Quality of service;Runtime;Writing","computer network management;firewalls;resource allocation;software defined networking;telecommunication security;virtualisation","IDS;NFV;PBNM;SDN;VNF;dynamic reconfiguration;firewalls;intrusion detection systems;load balancers;network functions virtualization;physical middleboxes;policy-based dynamic service chaining;policy-based network management;service chaining graphs;software-defined networking;virtualized network functions","","","","","","","27-30 June 2016","","IEEE","IEEE Conference Publications"
"A secure monitoring and control system for Wireless Sensor Networks","M. Riecker; R. Thome; D. Yuan; M. Hollick","Secure Mobile Networking Lab, Technische Universit&#x00E4;t Darmstadt, Mornewegstr. 32, 64293, Germany","Local Computer Networks (LCN), 2012 IEEE 37th Conference on","","2012","","","164","167","The maintenance of Wireless Sensor Networks (WSNs) can carry high or prohibitive costs, particularly, if the WSN is deployed in unattended areas. Secure monitoring and control of the WSN is vital, however, practical systems are rare and limited with respect to their capabilities. We present a monitoring and control system for WSNs that is secure and additionally equipped with intrusion detection functionality. It allows to reliably assess the actual status of the network, to configure the sensor nodes, and to further use this data to highlight suspicious events.","0742-1303;07421303","","10.1109/LCN.2012.6423597","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6423597","","Control systems;Elliptic curve cryptography;Intrusion detection;Monitoring;Wireless sensor networks","security of data;telecommunication control;wireless sensor networks","control system;intrusion detection functionality;network actual status;secure monitoring;sensor nodes;wireless sensor networks maintenance","","0","","6","","","22-25 Oct. 2012","","IEEE","IEEE Conference Publications"
"A Novel Approach for Efficient Usage of Intrusion Detection System in Mobile Ad Hoc Networks","N. Marchang; R. Datta; S. K. Das","Ningrinla Marchang is with the Department of Computer Science and Engineering, North Eastern Regional Institute of Science and Technology, Nirjuli, Itanagar 791109, Arunachal Pradesh, INDIA. (email: ningrinla@yahoo.co.in)","IEEE Transactions on Vehicular Technology","","2016","PP","99","1","1","Mobile Ad hoc Networks (MANET) are selfconfiguring, infrastructureless, dynamic wireless networks in which the nodes are resource constrained. Intrusion Detection Systems (IDS) are used in MANETs to monitor activities so as to detect any intrusion in the otherwise vulnerable network. In this paper, we present efficient schemes for analyzing and optimizing the time duration for which the intrusion detection systems need to remain active in a mobile ad hoc network. A probabilistic model is proposed that makes use of cooperation between IDSs among neighborhood nodes to reduce their individual active time. Usually, an IDS has to run all the time on every node to oversee the network behavior. This can turn out to be a costly overhead for a battery-powered mobile device in terms of power and computational resources. Hence, in this work our aim is to reduce the duration of active time of the IDSs without compromising on their effectiveness. To validate our proposed approach, we model the interactions between IDSs as a multi-player cooperative game in which the players have partially cooperative and partially conflicting goals. We theoretically analyze this game and support it with simulation results.","0018-9545;00189545","","10.1109/TVT.2016.2557808","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7458182","Ad hoc networks;energy efficiency;intrusion detection","Games;Intrusion detection;Mobile ad hoc networks;Monitoring;Protocols;Wireless networks","","","","","","","","20160422","","","IEEE","IEEE Early Access Articles"
"Towards fault tolerance pervasive computing","Shiva Chetan; Anand Ranganathan; R. Campbell","Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA","IEEE Technology and Society Magazine","","2005","24","1","38","44","Pervasive computing exists in the user's environment, the technology is sustainable if it is invisible to the user and does not intrude the user's consciousness. This requires that functioning of the multitude of devices in the environment be oblivious to the user. Therefore, the system has to be resilient to various kinds of faults and should be able to function despite faults. In addition, pervasive computing provides a platform for context-aware computing that enables automatic configuration of a pervasive system based on the environment context. The aim of this article is to highlight the various challenges and issues that confront fault tolerance pervasive computing, discuss their implications, prevent some solutions to these problems, and describe how some of these solutions are implemented in our system.","0278-0097;02780097","","10.1109/MTAS.2005.1407746","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1407746","","Electrical products;Fault tolerance;Fault tolerant systems;Handheld computers;Medical services;Pervasive computing;Physics computing;Power system reliability;Senior citizens;Space technology","fault tolerant computing;sustainable development;system recovery;ubiquitous computing","automatic configuration;context-aware computing;fault tolerance;network failure;pervasive computing;sustainable development;user environment","","52","1","24","","","Spring 2005","","IEEE","IEEE Journals & Magazines"
"A network monitor and controller using only OpenFlow","R. B. Santos; T. R. Ribeiro; C. d. A. C. C&#x00E9;sar","Div. de Cienc. da Comput., Inst. Tecnol. de Aeronaut., Sa&#x0303;o Jose&#x0301; dos Campos, Brazil","Network Operations and Management Symposium (LANOMS), 2015 Latin American","","2015","","","9","16","Software-Defined Networking (SDN) Architecture is relatively well defined, but the standards still need further development. Currently, working groups are developing Application Programming Interfaces (APIs) in which network monitoring is a priority, because it is the first step towards controlling a network. We present a network monitor that provides basic Quality of Service (QoS) parameters without the addition of a probe in the network equipment, making the system independent of suppliers. Our monitor provides percentage of utilization, delay, jitter and loss by only exploring OpenFlow capabilities. Moreover, we present a Traffic Engineering application that selects the route according to flow requirements, using the monitor developed. The results indicate an accurate monitor which is useful for controlling the network.","","","10.1109/LANOMS.2015.7332663","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332663","Network Monitoring;Openflow;QoS;SDN;Traffic Engineering","Control systems;Delays;Monitoring;Quality of service;Routing","application program interfaces;control engineering computing;quality of service;software defined networking","API;OpenFlow;QoS parameter;Quality of Service;SDN architecture;application programming interfaces;network equipment;network monitor;network monitoring;software defined networking","","","","22","","","1-3 Oct. 2015","","IEEE","IEEE Conference Publications"
"PERG: A scalable FPGA-based pattern-matching engine with consolidated Bloomier filters","J. T. L. Ho; G. G. F. Lemieux","University of British Columbia, Vancouver, Canada","ICECE Technology, 2008. FPT 2008. International Conference on","","2008","","","73","80","PERG is an FPGA application that accelerates the process of searching a stream of bytes against a large, fixed database of string patterns. The stream could be network, disk, or file traffic, while the pattern database may represent computer viruses, spam, keyword sequences, or watermarks. A full pattern, or rule, consists of a sequence of one or more segments separated by gaps. Each segment is an exact sequence of bytes, possibly 100s of bytes long. Each gap contains arbitrary bytes, but is a known length. PERG uses a pattern compiler to transform a database of these rules into a hardware implementation. To the authorspsila knowledge, this is the first pattern match engine hardware designed for large virus databases. It is also first among network intrusion detection systems (NIDS), which are similar in nature to PERG, to implement Bloomier filters. Like hash tables, Bloomier filters produce false positives due to aliasing, so all potential matches must be verified by exact matching. However, Bloomier filters are more powerful than their ancestral Bloom filters because they can identify the exact rule of a potential match. This enables two key advantages for PERG. First, it allows PERG to use a checksum to very efficiently reduce false positives. Second, exact matching with PERG filters is much faster than with Bloom filter systems because only one suspect pattern needs to be checked, not all patterns. To reduce memory requirements, PERG packs as many segments as possible into each Bloomier filter by consolidating several different segment lengths into the same filter unit. This is done by dividing each segment into two smaller but overlapping fragments of the same length. Dividing into non-overlapping fragments would create shorter fragments of uneven lengths, leading to higher false positives and differing lengths to consolidate later. Using the ClamAV antivirus database, PERG fits 80,282 patterns containing over 8,224,848 characters into a single modest FPGA chi- - p with a small (4 MB) off-chip memory. It uses just 26 filter units, resulting in roughly 26x improved density (characters per memory bit) compared to the next-best NIDS pattern match engine which fits only 1/250<sup>th</sup> the characters. PERG can scan at roughly 200 MB/s and match the speed of most network or disk interfaces.","","","10.1109/FPT.2008.4762368","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4762368","","Acceleration;Application software;Databases;Engines;Field programmable gate arrays;Hardware;Intrusion detection;Matched filters;Pattern matching;Telecommunication traffic","computer viruses;field programmable gate arrays;filters;pattern matching;program compilers;very large databases","Bloomier filters;ClamAV antivirus database;FPGA-based pattern-matching engine;PERG;hardware implementation;large virus databases;network intrusion detection systems;pattern compiler","","7","","22","","","8-10 Dec. 2008","","IEEE","IEEE Conference Publications"
"Clustering of mobile ad hoc networks: An approach for black hole prevention","J. Savner; V. Gupta","Dept. of Inf. Technol., Medicaps Inst. of Technol. & Manage., Indore, India","Issues and Challenges in Intelligent Computing Techniques (ICICT), 2014 International Conference on","","2014","","","361","365","This paper addresses security and performance issues of MANET. A novel cluster oriented concept is proposed to enhance security and efficiency of the network. Proposed strategy insures the optimum performance of MANET in presence of black hole attack. The simulation of the proposed methodology is carried out using NS2 network simulator and the simulation results reflects the performance of scheme for detection and prevention of the black hole.","","","10.1109/ICICICT.2014.6781308","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6781308","MANET;black hole;performance analysis;security;simulation","Ad hoc networks;Delays;IEEE 802.11 Standards;Mobile computing;Servers;Throughput;Wireless communication","mobile ad hoc networks;pattern clustering;simulation;telecommunication security","MANET security;NS2 network simulator;black hole attack;black hole prevention;cluster oriented concept;mobile ad hoc networks","","0","","9","","","7-8 Feb. 2014","","IEEE","IEEE Conference Publications"
"A Heterogeneous Service-Oriented Deep Packet Inspection and Analysis Framework for Traffic-Aware Network Management and Security Systems","M. Ashraf; H. Jamal; S. Khan; Z. Ahmed; M. Baig","M. Asrar Ashraf is with the University of Engineering and Technology, Taxila, Pakistan.(Email: asrarashraf@gmail.com)","IEEE Access","","2016","PP","99","1","1","Variety of web based applications, mobile apps and other Over the Top (OTT) data services with affordable 3G/4G enabled smart devices are major factors for enormous increase in heterogeneous data traffic at enterprise and mobile networks. This creates challenges regarding traffic management and requires traffic-aware intelligent network management to deliver sustained quality of experience (QoE) for subscribers. Deep Packet Inspection and Analysis (DPIA) provides base platform for development of traffic-aware intelligent network management and security systems. However, computationally complex DPIA related packet processing for high speed data traffic makes these systems expensive. Furthermore, conventionally these traffic-aware network management and security systems are deployed in enterprise networks with independent and dedicated DPIA related processing resources and require multiple copies of passively provisioned high speed data from network, while performing similar DPIA operations over same data again and again. This duplicate deployment of expensive software and hardware resources for DPIA processing eventually results in higher capital expenditures (CAPEX) as well as operational expenditures (OPEX) for network operators. We have proposed a novel Service-Oriented framework for heterogeneous Deep Packet Inspection and Analysis (SoDPI) that simultaneously provides diversified DPIA services to multiple client applications for network management and security operations in high speed networks. Proposed framework provides flexible and comprehensive API based service interface for client applications to register required DPIA services. SoDPI framework implementation is based on commodity hardware and deploys shared set of DPIA related packet processing components, requiring only single copy of passive data provisioned from network. Experimental evaluations show that novel SoDPI framework requires considerably reduced amount of software and hardware resources to f- lfill heterogeneous DPIA packet processing requirements for multiple client applications in comparison to conventional network management and security applications with dedicated DPIA components. This results in lower cost impacts for network operators with more network manageability.","2169-3536;21693536","","10.1109/ACCESS.2016.2609398","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7567523","Cost effective;Deep Packet Inspection;Network Monitoring;Service Oriented;Traffic-Aware Network Management","Cost benefit analysis;Monitoring;Service-oriented architecture;Telecommunication network management;Telecommunication traffic;Web and internet services","","","","","","","","20160914","","","IEEE","IEEE Early Access Articles"
"Sketch-based multidimensional IDS: A new approach for network anomaly detection","C. Callegari; A. Casella; S. Giordano; M. Pagano; T. Pepe","Dept. of Inf. Eng., Univ. of Pisa, Pisa, Italy","Communications and Network Security (CNS), 2013 IEEE Conference on","","2013","","","350","358","The diffusion of technologies for high speed data transmission over the Internet and the growing employment of new multimedia services require fast and effective techniques for the protection against network attacks. In this paper we present a new approach able to detect at the same time different types of network anomalies. It consists in the simultaneous analysis of several traffic descriptors (aggregated through a sketch to guarantee the scalability of the algorithm) by means of a single vectorial algorithm. In terms of ROC curve, the performance of our multidimensional Intrusion Detection System (IDS) are comparable with the separate application of traditional monodimensional IDSs to all traffic parameters, while reducing the computational time of more than 80%.","","","10.1109/CNS.2013.6682725","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6682725","","Conferences;Data models;Euclidean distance;Kernel;Probability density function;Security;Vectors","Internet;security of data;sensitivity analysis;telecommunication traffic;vectors","Internet;ROC curve;high speed data transmission;multidimensional intrusion detection system;multimedia services;network anomalies;network attacks protection;single vectorial algorithm;sketch-based multidimensional IDS;traffic descriptors;traffic parameters","","1","","21","","","14-16 Oct. 2013","","IEEE","IEEE Conference Publications"
"A Priority-based Feedback Flow Control System for Bandwidth Control","S. Song; C. N. Manikopoulos","department of Computer and Electrical Engineering in New Jersey Institute of Technology, University Heights, Newark, NJ 07102 USA (phone: 203-902-1498; fax: 203-902-1498; e-mail: sxs1148@njit.edu)","2006 40th Annual Conference on Information Sciences and Systems","","2006","","","1645","1652","In this paper, we propose a priority-based feedback flow control system (PFFCS) architecture that use the flow-based network intrusion detection to classify the traffic flows in the network into different priority classes and give different treatment to the flow-rates belonging to different classes, and PFFCS uses a control-theoretic approach to control network traffic and at the same time, adaptively to maximize low priority flows while maintaining high priority flows at a desired level so that full utilization of network medium can be achieved through adaptive rate control. To provide this desired service guarantee to high priority flows, we build dynamic network flow model, propose multi-layered network flow-rate constrain algorithms and define a series of malicious-based packet discarding policies. The system is shown to be highly flexible and robust against different types of attack patterns, and traditional network traffic control can be implemented using one common framework. This system has been evaluated by using simulated test-bed data. Results show the success that the system mitigates distributed denial of service attacks.","","","10.1109/CISS.2006.286399","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4068065","Flow;Flow aggregation;Network Intrusion Detection System;Neural Network Classifier;QoS","Adaptive control;Bandwidth;Communication system traffic control;Control systems;Feedback;Intrusion detection;Programmable control;Robust control;System testing;Traffic control","bandwidth allocation;feedback;security of data;telecommunication congestion control;telecommunication traffic","PFFCS architecture;bandwidth control;network intrusion detection;network traffic control;priority-based feedback flow control system","","0","","25","","","22-24 March 2006","","IEEE","IEEE Conference Publications"
"Inter-VM packet inspection in Cloud Computing","S. Khoudali; K. Benzidane; A. Sekkaki","Computer sciences Department, University Hassan II Faculty of Sciences Ain Chock, Morocco","Communications, Computers and Applications (MIC-CCA), 2012 Mosharaka International Conference on","","2012","","","84","89","Cloud Computing (CC) has generated interest from both industry and academia over these years. As an extension of Grid Computing and Distributed Computing, CC aims to provide users with flexible services in a transparent manner. The distributed implementation of CC creates a suitable environment for easy targets, vulnerable and prone to sophisticated attacks. Commonly virtualization is the most utilized technology to implement a Cloud environment with a massive multi-tenancy usage, opening a door to a whole other level of security issues. This creates new targets for intrusion due to the complexity of access and difficulty in monitoring all interconnection points between systems, applications, and data sets. This raises many questions about the appropriate infrastructure, processes, and strategy for enacting detection and response to intrusion in a Cloud environment. This article discusses the security and the visibility issues of an inter-VM traffic and solutions for it within a Cloud environment context, by proposing an approach relying on distributed intrusion detection technique and packet inspection.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6516788","","","cloud computing;grid computing;security of data;virtual machines","CC;cloud computing;cloud environment;distributed computing;distributed intrusion detection technique;grid computing;inter-VM packet inspection;inter-VM traffic;interconnection points;virtual machines","","1","","12","","","12-14 Oct. 2012","","IEEE","IEEE Conference Publications"
"Detecting Malicious Javascript in PDF through Document Instrumentation","D. Liu; H. Wang; A. Stavrou","","2014 44th Annual IEEE/IFIP International Conference on Dependable Systems and Networks","","2014","","","100","111","An emerging threat vector, embedded malware inside popular document formats, has become rampant since 2008. Owed to its wide-spread use and Javascript support, PDF has been the primary vehicle for delivering embedded exploits. Unfortunately, existing defenses are limited in effectiveness, vulnerable to evasion, or computationally expensive to be employed as an on-line protection system. In this paper, we propose a context-aware approach for detection and confinement of malicious Javascript in PDF. Our approach statically extracts a set of static features and inserts context monitoring code into a document. When an instrumented document is opened, the context monitoring code inside will cooperate with our runtime monitor to detect potential infection attempts in the context of Javascript execution. Thus, our detector can identify malicious documents by using both static and runtime features. To validate the effectiveness of our approach in a real world setting, we first conduct a security analysis, showing that our system is able to remain effective in detection and be robust against evasion attempts even in the presence of sophisticated adversaries. We implement a prototype of the proposed system, and perform extensive experiments using 18623 benign PDF samples and 7370 malicious samples. Our evaluation results demonstrate that our approach can accurately detect and confine malicious Javascript in PDF with minor performance overhead.","1530-0889;15300889","","10.1109/DSN.2014.92","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6903571","Malcode bearing PDF;document instrumentation;malicious Javascript;malware detection and confinement","Context;Feature extraction;Instruments;Malware;Monitoring;Portable document format;Runtime","Java;document handling;feature extraction;invasive software;ubiquitous computing","Javascript execution;Javascript support;PDF;context monitoring code;context-aware approach;document format;document instrumentation;embedded malware;emerging threat vector;evasion attempt;malicious Javascript confinement;malicious Javascript detection;malicious document identification;online protection system;potential infection attempt detection;runtime feature;runtime monitoring;security analysis;sophisticated adversaries;static feature extraction","","2","","47","","","23-26 June 2014","","IEEE","IEEE Conference Publications"
"Securing mobile agent based Wireless Sensor Network applications on middleware","M. Usman; V. Muthukkumarasamy; X. W. Wu; S. Khanum","School of Information and Communication Technology, Griffith University, Gold Coast Campus, Queensland 4222, Australia","Communications and Information Technologies (ISCIT), 2012 International Symposium on","","2012","","","707","712","Wireless Sensor Network (WSN) is an indispensable component of pervasive computing. Mobile agents are used for several applications in WSNs such as data fusion, localization, re-allocate, and update of tasks on sensor nodes, etc. Middleware can provide a platform to these different applications to work concurrently and independently on top of sensor node's operating system. WSN often suffer from low availability of resources. Thus they cannot afford to implement effective security mechanisms at application or hardware layer. In this article, we propose a middleware architecture for mobile agent based WSN applications that is not only efficient for traditional tasks, but also capable of providing adequate security services. As a case study, we explore mobile agent based intrusion detection system, considering as an application, for our proposed middleware architecture. Comparative study and detailed analysis of proposed middleware architecture show a number of benefits.","","","10.1109/ISCIT.2012.6380993","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6380993","Intrusion Detection System;Middleware;Mobile Agents;Pervasive Computing;Wireless Sensor Network","Computer architecture;Hardware;Intrusion detection;Middleware;Mobile agents;Wireless sensor networks","middleware;mobile agents;mobile computing;security of data;wireless sensor networks","WSN;application layer;effective security mechanisms;hardware layer;intrusion detection system;middleware architecture;mobile agent;pervasive computing;sensor node;wireless sensor network applications","","3","","24","","","2-5 Oct. 2012","","IEEE","IEEE Conference Publications"
"A scalable distributed routing protocol for networks with data-path services","Xin Huang; S. Ganapathy; T. Wolf","Department of Electrical and Computer Engineering, University of Massachusetts, Amherst, 01003, USA","Network Protocols, 2008. ICNP 2008. IEEE International Conference on","","2008","","","318","327","Advanced packet processing functions in the data path of routers are commonly used in the current Internet and are likely to expand in next-generation networks. One of the key challenges related to such ldquonetwork servicesrdquo is to develop a suitable control plane infrastructure for routing and connection setup. In this paper, we present a novel distributed algorithm and routing protocol to facilitate allocation of services during connection setup. The protocol is scalable for deployment in large networks and can obtain globally optimal solutions for a single service and approximate solutions for two or more services. We have implemented a prototype on Emulab to evaluate the proposed protocol. Our implementation shows that the proposed protocol is indeed an effective and scalable solution to the routing problem in networks with data-path services.","1092-1648;10921648","","10.1109/ICNP.2008.4697050","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4697050","","Computer networks;Control systems;Distributed algorithms;IP networks;Next generation networking;Peer to peer computing;Prototypes;Routing protocols;Testing;Web and internet services","Internet;distributed algorithms;routing protocols","Internet;connection setup;data-path service allocation;distributed algorithm;next-generation network;packet processing function;scalable distributed routing protocol","","2","1","24","","","19-22 Oct. 2008","","IEEE","IEEE Conference Publications"
